"","VariableName","datatype","NoOfRecords","UniqueRecords","DataAvailable","AvailablePercent","Missing","MissingPtage","Minimum","Maximum","Mean","five_ptile","ten_ptile","twentyfive_ptile","fifty_ptile","seventyfive_ptile","ninety_ptile","ninetyfive_ptile"
"1","Case.Number","factor",5992,5976,5992,1,0,0,"Factor","Factor","Factor","Factor","Factor","Factor","Factor","Factor","Factor","Factor"
"2","Date","factor",5992,5128,5992,1,0,0,"Factor","Factor","Factor","Factor","Factor","Factor","Factor","Factor","Factor","Factor"
"3","Year","integer",5992,232,5992,1,0,0,"0","2016","1925.20460614152","1863","1895","1942","1975","2003","2012","2014"
"4","Type","factor",5992,6,5992,1,0,0,"Factor","Factor","Factor","Factor","Factor","Factor","Factor","Factor","Factor","Factor"
"5","Country","factor",5992,204,5949,0.99,43,0.01,"Factor","Factor","Factor","Factor","Factor","Factor","Factor","Factor","Factor","Factor"
"6","Area","factor",5992,786,5590,0.93,402,0.07,"Factor","Factor","Factor","Factor","Factor","Factor","Factor","Factor","Factor","Factor"
"7","Location","factor",5992,3930,5496,0.92,496,0.08,"Factor","Factor","Factor","Factor","Factor","Factor","Factor","Factor","Factor","Factor"
"8","Activity","factor",5992,1493,5465,0.91,527,0.09,"Factor","Factor","Factor","Factor","Factor","Factor","Factor","Factor","Factor","Factor"
"9","Name","factor",5992,5010,5792,0.97,200,0.03,"Factor","Factor","Factor","Factor","Factor","Factor","Factor","Factor","Factor","Factor"
"10","Sex","factor",5992,7,5425,0.91,567,0.09,"Factor","Factor","Factor","Factor","Factor","Factor","Factor","Factor","Factor","Factor"
"11","Age","factor",5992,153,3316,0.55,2676,0.45,"Factor","Factor","Factor","Factor","Factor","Factor","Factor","Factor","Factor","Factor"
"12","Injury","factor",5992,3596,5965,1,27,0,"Factor","Factor","Factor","Factor","Factor","Factor","Factor","Factor","Factor","Factor"
"13","Fatal..Y.N.","factor",5992,7,5878,0.98,114,0.02,"Factor","Factor","Factor","Factor","Factor","Factor","Factor","Factor","Factor","Factor"
"14","Time","factor",5992,358,2779,0.46,3213,0.54,"Factor","Factor","Factor","Factor","Factor","Factor","Factor","Factor","Factor","Factor"
"15","Species","factor",5992,1539,3058,0.51,2934,0.49,"Factor","Factor","Factor","Factor","Factor","Factor","Factor","Factor","Factor","Factor"
"16","Investigator.or.Source","factor",5992,4753,5977,1,15,0,"Factor","Factor","Factor","Factor","Factor","Factor","Factor","Factor","Factor","Factor"
